"いらいら",いらいら,"副詞・サ変動詞","","急躁，焦躁","待っていた電車がなかなか来ず、いらいらした。"
"うきうき",うきうき,"副詞・サ変動詞","","喜不自胜，兴高采烈","明日から旅行なので、気分がうきうきしている。"
"うんざり",うんざり,"副詞・サ変動詞","","厌烦，腻烦","上司の長い話にはもううんざりだ。"
"おろおろ",おろおろ,"副詞・サ変動詞","","不知所措，心神不定，慌张","事故の知らせを聞いて、おろおろするばかりだった。"
"くよくよ",くよくよ,"副詞・サ変動詞","","愁眉不展，闷闷不乐，想不开","小さな失敗をいつまでもくよくよするな。"
"そわそわ",そわそわ,"副詞・サ変動詞","","心神不宁，坐立不安","試験の結果発表が近づき、そわそわして落ち着かない。"
"どきどき",どきどき,"副詞・サ変動詞","","(因紧张、期待等)心怦怦跳","好きな人の前に出ると、胸がどきどきする。"
"はらはら",はらはら,"副詞・サ変動詞","","(为别人)捏一把汗，担心","危ない曲芸を見て、はらはらした。"
"びくびく",びくびく,"副詞・サ変動詞","","提心吊胆，害怕","叱られるのではないかと、びくびくしていた。"
"ほっと",ほっと,"副詞・サ変動詞","","松了一口气，放心","無事だと聞いて、ほっとした。"
"むかむか",むかむか,"副詞・サ変動詞","","(因愤怒或恶心)反胃，作呕，火大","彼の失礼な態度に、胸がむかむかした。"
"もやもや",もやもや,"副詞・サ変動詞","","心情郁闷，有想不开的事，模糊","言いたいことが言えず、気持ちがもやもやする。"
"わくわく",わくわく,"副詞・サ変動詞","","(因期待)兴奋，激动","クリスマスプレゼントを開ける前は、いつもわくわくする。"
"がっかり",がっかり,"副詞・サ変動詞","","失望","期待していた映画が面白くなくて、がっかりした。"
"しょんぼり",しょんぼり,"副詞・サ変動詞","","无精打采，垂头丧气","試合に負けて、しょんぼりと帰った。"
"あたふた",あたふた,"副詞・サ変動詞","","慌慌张张，手忙脚乱","突然の来客に、あたふたしてしまった。"
"うろうろ",うろうろ,"副詞・サ変動詞","","徘徊，转来转去，无所事事","怪しい男が家の前をうろうろしている。"
"きびきび",きびきび,"副詞・サ変動詞","","干脆利落，敏捷","彼女はいつもきびきびと働いている。"
"ぐずぐず",ぐずぐず,"副詞・サ変動詞","","磨磨蹭蹭，拖拖拉拉","ぐずぐずしていないで、早く準備しなさい。"
"くたくた",くたくた,"形容動詞","","精疲力尽，累垮了","一日中歩き回って、もうくたくただ。"
