name,trans,例文,例文翻译
Catalyst,催化剂,The new law acted as a catalyst for social change.,新法律充当了社会变革的催化剂。
Arid,干旱的,Few plants can thrive in such an arid climate.,很少有植物能在如此干旱的气候中茁壮成长。
Bolster,支持/加强,The latest data helped to bolster the scientist's theory.,最新的数据有助于支持科学家的理论。
Albeit,尽管/虽然,It was an amazing discovery albeit a very accidental one.,那是一个惊人的发现，尽管非常偶然。
Tectonic,地壳构造的,Tectonic plate movements are responsible for mountain building.,地壳板块运动是山脉形成的原因。
Implicit,暗示的/含蓄的,There was an implicit agreement that the project would be funded.,大家默契地认为该项目会获得资助。
Delineate,描绘/勾勒,The report clearly delineates the boundaries of the research.,该报告清楚地勾勒出了研究的边界。
Accretion,积聚/增长,The accretion of cosmic dust led to the formation of the planet.,宇宙尘埃的积聚导致了行星的形成。
Fabricate,捏造/制造,He was accused of trying to fabricate evidence for his case.,他被指控试图为自己的案件伪造证据。
Erode,侵蚀/腐蚀,Acid rain can slowly erode the surface of ancient monuments.,酸雨会缓慢侵蚀古代纪念碑的表面。
Hypothesis,假设,Scientists are working to test the initial hypothesis.,科学家们正致力于测试最初的假设。
Compel,强迫/迫使,The drought compelled many farmers to leave their land.,干旱迫使许多农民离开他们的土地。
Aesthetic,审美的/美学的,The building combines modern technology with traditional aesthetics.,这栋建筑将现代技术与传统美学相结合。
Attribute,归因于/特征,She attributes her success to years of hard work.,她将成功归功于多年的努力。
Inherent,固有的/内在的,There are inherent risks in any deep-sea exploration.,任何深海探索都存在固有风险。
Paradigm,范式/典范,This discovery represents a paradigm shift in physics.,这一发现代表了物理学的一个范式转移。
Empirical,实证的/经验的,The theory is supported by a wealth of empirical data.,该理论得到了丰富的实证数据支持。
Substantial,实质性的/大量的,The project required a substantial amount of time and money.,该项目需要大量的时间和金钱。
Deteriorate,恶化,The condition of the ruins deteriorated rapidly after the storm.,风暴过后，遗迹的状况迅速恶化。
Amplify,放大/增强,Social media can amplify the impact of a news story.,社交媒体可以放大新闻故事的影响。
Autonomous,自主的/自治的,The university is an autonomous institution.,这所大学是一个自治机构。
Bias,偏见/倾向,The researcher was criticized for her cultural bias.,这位研究人员因其文化偏见而受到批评。
Coherent,连贯的/协调的,The witness gave a coherent account of the accident.,证人对事故给出了连贯的陈述。
Diffuse,弥漫/扩散,The scent of pine trees diffused through the forest.,松树的香味在森林中弥漫开来。
Elite,精英/杰出的,The program is designed for the country's elite students.,该计划是为该国的精英学生设计的。
Feasible,可行的,The professor asked if the research plan was feasible.,教授询问该研究计划是否可行。
Hierarchy,等级制度,The social hierarchy of ancient Rome was very strict.,古罗马的社会等级制度非常严格。
Illuminate,阐明/照明,The study helps to illuminate the causes of the revolution.,这项研究有助于阐明革命的原因。
Incentive,激励/动机,The government offers tax incentives to small businesses.,政府为小企业提供税收激励。
Manifest,表现/显现,The symptoms of the disease manifest in several ways.,这种疾病的症状以多种方式表现出来。
Notable,显著的/著名的,The city is notable for its unique architecture.,这座城市以其独特的建筑而闻名。
Obscure,模糊的/隐晦的,The meaning of the poem is somewhat obscure.,这首诗的意义有些晦涩。
Potential,潜在的,The new technology has the potential to transform the industry.,这项新技术具有改变行业的潜力。
Refine,精炼/完善,The theory was refined after years of observation.,该理论在经过多年的观察后得到了完善。
Significant,显著的/重大的,There has been a significant increase in online sales.,在线销售额有了显著增长。
Transform,改变/转换,Technology has transformed the way we communicate.,技术改变了我们的沟通方式。
Underlie,构成...的基础,Economic issues underlie many social problems.,经济问题是许多社会问题的基础。
Validate,验证/使生效,The results were used to validate the previous findings.,这些结果被用于验证之前的发现。
Widespread,广泛的,There is widespread concern about air pollution.,人们对空气污染存在广泛的担忧。
Yield,产出/屈服,The experimental farm yielded a bumper crop.,实验农场获得了大丰收。
Abundant,丰富的,The island is abundant in natural resources.,这个岛屿自然资源丰富。
Allocate,分配/拨给,The committee decided to allocate more time to the discussion.,委员会决定分配更多的时间进行讨论。
Ambiguous,模棱两可的,The teacher's instructions were rather ambiguous.,老师的指示相当模糊。
Analogy,类比,He made an analogy between the brain and a computer.,他把大脑比作电脑。
Apparatus,仪器/设备,The lab is equipped with the latest scientific apparatus.,实验室配备了最新的科学仪器。
Arid,干旱的,Cacti are adapted to live in arid regions.,仙人掌适应在干旱地区生活。
Assimilate,吸收/同化,It takes time for new students to assimilate all the rules.,新生需要时间来吸收所有的规则。
Bolster,支持/增强,The good news bolstered the team's morale.,好消息增强了团队的士气。
Cease,停止,The rain finally ceased after three days.,雨在三天后终于停了。
Chronological,按时间顺序的,The events are listed in chronological order.,事件按时间顺序排列。
Coincide,符合/同时发生,The exhibition coincides with the university's anniversary.,展览恰逢大学校庆。
Collaborate,合作,Students were encouraged to collaborate on the project.,鼓励学生在项目上进行合作。
Complex,复杂的,The human brain is an incredibly complex organ.,大脑是一个极其复杂的器官。
Comprehensive,全面的,The textbook provides a comprehensive guide to biology.,该教科书提供了全面的生物学指南。
Concede,承认/让步,He had to concede that his argument was flawed.,他不得不承认他的论证有缺陷。
Concrete,具体的,The police have no concrete evidence against him.,警方没有针对他的具体证据。
Confirm,确认/证实,The doctor confirmed that the surgery was successful.,医生确认手术成功。
Context,背景/语境,You need to look at the words in their historical context.,你需要结合历史背景来看这些词。
Contradict,矛盾/反驳,His actions contradict his words.,他的行为与言语相矛盾。
Contrast,对比,The cold weather was a sharp contrast to the heat of July.,寒冷的天气与七月的酷热形成了鲜明的对比。
Controversy,争议,The new movie caused a lot of controversy.,这部新电影引起了很多争议。
Converge,汇聚,The two paths converge at the edge of the forest.,这两条路在森林边缘汇合。
Core,核心,The core of the issue is a lack of trust.,问题的核心是缺乏信任。
Crude,天然的/粗糙的,The factory processes crude oil into fuel.,工厂将原油加工成燃料。
Cumulative,累积的,The cumulative weight of the snow broke the roof.,雪的累积重量压塌了屋顶。
Data,数据,The data shows that temperatures are rising.,数据表明气温正在上升。
Decay,腐烂/衰减,The old wooden house has started to decay.,那座旧木屋已经开始腐烂。
Deliberate,故意的/深思熟虑,The attack was a deliberate act of violence.,这次袭击是一次蓄意的暴力行为。
Dense,密集的/浓厚的,The plane disappeared into a dense cloud.,飞机消失在浓云中。
Depict,描写/描绘,The novel depicts life in rural England.,这部小说描写了英国农村的生活。
Deplete,耗尽/枯竭,The forest resources are being depleted rapidly.,森林资源正在迅速枯竭。
Deposit,沉积物/存放,The river leaves a deposit of sand on the banks.,河流在岸边留下沙子沉积物。
Derive,源自/获得,Many English words are derived from Latin.,许多英语单词源于拉丁语。
Detect,探测/发现,The system can detect small changes in temperature.,该系统可以探测到微小的温度变化。
Deviate,偏离,The path deviates from the main road.,这条小路偏离了主路。
Diagram,图表,The teacher used a diagram to explain the process.,老师用图表来解释这个过程。
Diminish,减少/削弱,His influence has diminished over the years.,他的影响力这些年来减弱了。
Discrete,分离的/离散的,The data is sorted into discrete categories.,数据被分为离散的类别。
Displace,取代/置换,The war displaced thousands of people.,战争使成千上万的人流离失所。
Diverse,多样化的,The university has a very diverse student body.,这所大学的学生群体非常多样化。
Domestic,国内的/家庭的,The company focuses on the domestic market.,公司专注于国内市场。
Dramatic,巨大的/戏剧性的,There has been a dramatic fall in the price of oil.,油价出现了剧烈下跌。
Dynamic,动态的/有活力的,The global economy is a dynamic system.,全球经济是一个动态的系统。
Eclipse,日食/月食,A total eclipse of the sun is a rare event.,日全食是一种罕见的事件。
Efficiency,效率,The new engine has a higher fuel efficiency.,新发动机的燃油效率更高。
Eliminate,消除,We must eliminate all potential risks.,我们必须消除所有潜在风险。
Eloquent,雄辩的,The president gave an eloquent speech.,总统发表了动人的演讲。
Embody,体现/包含,The statue embodies the spirit of freedom.,这座雕像体现了自由的精神。
Emerge,出现/浮现,The sun emerged from behind the clouds.,太阳从云层后面出现了。
Emission,排放,Cars produce harmful carbon emissions.,汽车产生有害的碳排放。
Emphasize,强调,The report emphasizes the need for more education.,报告强调了需要更多教育。
Enable,使能够,Technology enables us to work from anywhere.,技术使我们能够在任何地方工作。
Encounter,遇到,We encountered many obstacles during the hike.,我们在徒步旅行中遇到了许多障碍。
Endure,忍受/持久,The ancient ruins have endured for centuries.,古代遗迹已存在了几个世纪。
Enhance,增强/提高,The new software will enhance your productivity.,新软件将提高你的工作效率。
Ensure,确保,Please ensure that all the lights are turned off.,请确保所有的灯都关掉了。
Entity,实体,The two companies are separate legal entities.,这两家公司是独立的法人实体。
Equilibrium,平衡,The market will reach an equilibrium eventually.,市场最终会达到平衡。
Equivalent,等价的/相当的,One unit is equivalent to two hours of study.,一个学分相当于两个小时的学习。
Erratic,不稳定的/古怪的,His behavior has been very erratic lately.,他最近的行为一直很不稳定。
Establish,建立,The school was established in 1850.,这所学校建于1850年。
Estimate,估计,The cost of the repairs is estimated at $500.,修理费用估计为500美元。
Evaluate,评估,The judges will evaluate each performance.,评委将评估每一场表演。
Evident,明显的,It was evident that she was unhappy.,显而易见她很不开心。
Evolution,进化,The evolution of the species took millions of years.,物种的进化花了数百万年。
Exceed,超过,The weight of the luggage exceeds the limit.,行李重量超过了限制。
Exhibit,展览/显示,The museum will exhibit new paintings.,博物馆将展出新画作。
Expand,扩张,The company plans to expand its business to Asia.,公司计划将其业务扩张到亚洲。
Explicit,明确的,The teacher gave explicit instructions.,老师给出了明确的指示。
Exploit,开发/利用,We must learn how to exploit renewable energy.,我们必须学会如何开发可再生能源。
Extract,提取/摘录,Oil is extracted from the ground.,石油是从地下提取出来的。
Facilitate,促进,Modern technology facilitates communication.,现代技术促进了沟通。
Faculty,教职员/能力,He is a member of the university faculty.,他是大学教职员的一员。
Feasible,可行的,We need to find a feasible solution to the problem.,我们需要找到一个解决问题的可行方案。
Finite,有限的,The Earth has finite natural resources.,地球的自然资源是有限的。
Flexible,灵活的,Working hours are very flexible in this office.,这个办公室的办公时间非常灵活。
Fluctuate,波动,The price of gold fluctuates every day.,金钱的价格每天都在波动。
Formulate,制定/规划,They are working to formulate a new plan.,他们正致力于制定一个新计划。
Fragment,碎片,Archaeologists found fragments of ancient pottery.,考古学家发现了古代陶器的碎片。
Framework,框架,The law provides a framework for environmental protection.,法律为环境保护提供了一个框架。
Frequency,频率,The frequency of earthquakes is increasing.,地震的频率正在增加。
Fundamental,基本的,Education is a fundamental human right.,教育是一项基本人权。
Generate,产生,The wind turbines generate electricity.,风力涡轮机发电。
Genuine,真正的/真诚的,The painting is a genuine Picasso.,这幅画是毕加索的真迹。
Global,全球的,Climate change is a global issue.,气候变化是一个全球性问题。
Grade,等级/成绩,She received a passing grade on the test.,她考试及格了。
